,Type,Rating,Effects,thc_max,cbd_max,high_thc,balanced,high_cbd,Focused,Giggly,Creative,Uplifted,Talkative,Happy,Energetic,Euphoric,Tingly,None,Relaxed,Hungry,Sleepy,Aroused,sativa,indica,hybrid
738,hybrid,4.2,"['Relaxed', 'Uplifted', 'Talkative', 'Tingly', 'Energetic']",30.359906586538465,0.30748129807692304,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1
14,hybrid,4.5,"['Relaxed', 'Happy', 'Uplifted', 'Focused', 'Euphoric']",7.734545589358795,28.46457807094133,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
1137,hybrid,4.6,"['Relaxed', 'Uplifted', 'Happy', 'Focused', 'Giggly']",20.656469032258066,0.39223387096774187,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
989,hybrid,4.4,"['Euphoric', 'Relaxed', 'Happy', 'Hungry', 'Sleepy']",24.94745,0.15,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1
1159,hybrid,4.8,"['Euphoric', 'Creative', 'Happy', 'Focused', 'Relaxed']",37.47851,0.6011316666666667,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
325,hybrid,4.3,"['Relaxed', 'Happy', 'Euphoric', 'Uplifted', 'Energetic']",29.803077319444455,0.42686941944444395,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
1069,hybrid,4.4,"['Happy', 'Relaxed', 'Uplifted', 'Euphoric', 'Creative']",25.433362708333338,0.1820426041666667,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
916,hybrid,4.2,"['Relaxed', 'Uplifted', 'Happy', 'Energetic', 'Focused']",24.180872027777784,0.28555399786324825,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1
623,hybrid,4.1,"['Happy', 'Euphoric', 'Relaxed', 'Uplifted', 'Energetic']",22.441026785714293,0.28361486428571414,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1
653,hybrid,4.5,"['Happy', 'Relaxed', 'Uplifted', 'Creative', 'Euphoric']",26.757273953488376,0.37359883720930226,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
174,hybrid,4.3,"['Sleepy', 'Relaxed', 'Focused', 'Uplifted', 'Hungry']",24.23592847101449,0.1818276304347826,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1
1233,hybrid,4.5,"['Relaxed', 'Happy', 'Euphoric', 'Focused', 'Uplifted']",10.5069,12.200999999999999,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
549,hybrid,4.2,"['Sleepy', 'Happy', 'Euphoric', 'Uplifted', 'Energetic']",27.40300357142857,0.17009928571428573,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1
859,hybrid,4.2,"['Uplifted', 'Euphoric', 'Energetic', 'Focused', 'Happy']",29.188950000000002,0.1875,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
1216,hybrid,4.3,"['Relaxed', 'Happy', 'Uplifted', 'Focused', 'Tingly']",4.4750499999999995,38.0446,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
203,hybrid,5.0,"['Talkative', 'Creative', 'Happy', 'Hungry', 'Relaxed']",77.5156,0.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1
1148,hybrid,4.3,"['Relaxed', 'Focused', 'Uplifted', 'Talkative', 'Happy']",1.6705490476190477,21.414627619047618,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1
90,hybrid,4.0,"['Happy', 'Sleepy', 'Giggly', 'Euphoric', 'Uplifted']",14.472223333333332,0.034616666666666664,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
759,hybrid,4.5,"['Relaxed', 'Happy', 'Hungry', 'Uplifted', 'Euphoric']",31.73708750000001,0.254604,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
1285,hybrid,4.4,"['Relaxed', 'Happy', 'Tingly', 'Euphoric', 'Uplifted']",32.18519,0.3654743243243244,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1
120,hybrid,4.1,"['Happy', 'Relaxed', 'Euphoric', 'Sleepy', 'Uplifted']",32.643499999999996,0.37189631428571424,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1
867,hybrid,4.5,"['Relaxed', 'Happy', 'Uplifted', 'Euphoric', 'Aroused']",20.460126,0.008,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
585,hybrid,4.1,"['Happy', 'Relaxed', 'Uplifted', 'Focused', 'Euphoric']",25.49773484848486,0.2335957575757575,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
556,hybrid,4.3,"['Happy', 'Relaxed', 'Uplifted', 'Euphoric', 'Creative']",27.904126030487802,0.24518579372822374,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
